Accidents,Date,Country,Aircraft.Category,Make,Purpose.of.flight,Fatal.Injuries,Serious.Injuries,Minor.Injuries,Uninjured,Year
Accident,2001-06-03,United States,Airplane,Piper,Personal,1.0,0.0,0.0,0.0,2001
Accident,2006-11-04,United States,Airplane,Aircraft Mfg & Dev. Co. (amd),Personal,2.0,0.0,0.0,0.0,2006
Accident,2006-12-07,United States,Airplane,Mooney,Personal,1.0,0.0,0.0,0.0,2006
Accident,2007-01-15,United States,Airplane,Partenavia,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-03-07,United States,Airplane,Piper,Personal,3.0,0.0,0.0,0.0,2007
Accident,2007-04-19,United States,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-04-20,United States,Airplane,Cessna,Personal,3.0,0.0,0.0,0.0,2007
Accident,2007-04-26,United States,Airplane,Piper Aircraft,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-05-03,United States,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-05-23,United States,Airplane,Cessna,Personal,0.0,0.0,1.0,0.0,2007
Accident,2007-07-08,United States,Airplane,Mooney,Personal,2.0,2.0,0.0,0.0,2007
Accident,2007-07-15,United States,Airplane,Piper,Personal,0.0,1.0,0.0,0.0,2007
Accident,2007-08-11,United States,Airplane,Stout Gordon,Personal,0.0,0.0,2.0,0.0,2007
Accident,2007-08-12,United States,Airplane,Falcon Safety Craft Inc,Personal,0.0,1.0,0.0,0.0,2007
Accident,2007-08-19,United States,Airplane,Niva,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-08-22,United States,Airplane,Beechcraft,Personal,0.0,2.0,2.0,0.0,2007
Accident,2007-08-24,United States,Airplane,Socata,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-08-25,United States,Airplane,Piper,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-08-26,United States,Airplane,Cessna,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-08-30,United States,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,2007
Accident,2007-09-01,United States,Airplane,Beechcraft,Personal,5.0,0.0,0.0,0.0,2007
Accident,2007-09-02,United States,Airplane,Piper,Personal,0.0,0.0,0.0,2.0,2007
Accident,2007-09-02,United States,Airplane,Cessna,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-09-03,United States,Airplane,Yakovlev,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-09-06,United States,Airplane,Piper,Personal,3.0,0.0,0.0,0.0,2007
Accident,2007-09-11,United States,Airplane,Grumman American,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-09-14,United States,Airplane,Skykits,Personal,0.0,0.0,0.0,2.0,2007
Accident,2007-09-17,United States,Airplane,Root,Personal,0.0,1.0,1.0,0.0,2007
Accident,2007-09-19,United States,Airplane,Ortiz G/saint J,Personal,0.0,0.0,0.0,1.0,2007
Accident,2007-09-21,United States,Airplane,Temco,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-09-21,United States,Airplane,North American,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-09-22,United States,Airplane,Grumman,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-09-22,United States,Airplane,Cessna,Personal,1.0,1.0,0.0,0.0,2007
Accident,2007-09-30,United States,Airplane,Beechcraft,Personal,0.0,0.0,2.0,0.0,2007
Accident,2007-10-04,United States,Airplane,Indus,Personal,0.0,1.0,1.0,0.0,2007
Accident,2007-10-05,United States,Airplane,Bellanca,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-10-05,United States,Airplane,Piper,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-10-07,United States,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,2007
Accident,2007-10-07,United States,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-10-20,United States,Airplane,Ryan,Personal,0.0,0.0,0.0,1.0,2007
Accident,2007-10-23,United States,Airplane,Taylorcraft,Personal,0.0,0.0,1.0,1.0,2007
Accident,2007-10-28,United States,Airplane,Grumman American,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-11-03,United States,Airplane,Cessna,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-11-04,United States,Airplane,Blondin,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-11-05,United States,Airplane,Vans Aircraft,Personal,0.0,0.0,1.0,0.0,2007
Accident,2007-11-08,United States,Airplane,Beechcraft,Personal,0.0,0.0,0.0,2.0,2007
Accident,2007-11-08,United States,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-11-09,United States,Airplane,Piper,Personal,3.0,0.0,0.0,0.0,2007
Accident,2007-11-27,United States,Airplane,Herink H R/herink R W,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-11-27,United States,Airplane,Cessna,Personal,2.0,1.0,0.0,0.0,2007
Accident,2007-11-28,United States,Airplane,Mooney,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-11-28,United States,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-11-29,United States,Airplane,Swearingen T R/masters W,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-12-01,United States,Airplane,Porter Glen,Personal,0.0,1.0,0.0,0.0,2007
Accident,2007-12-08,United States,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-12-09,United States,Airplane,Beechcraft,Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-12-11,United States,Airplane,Beechcraft,Personal,3.0,0.0,0.0,0.0,2007
Accident,2007-12-12,United States,Airplane,"Wootton, John",Personal,1.0,0.0,0.0,0.0,2007
Accident,2007-12-13,United States,Airplane,Piper,Personal,0.0,0.0,2.0,0.0,2007
Accident,2007-12-15,United States,Airplane,Mooney,Personal,0.0,1.0,1.0,0.0,2007
Accident,2007-12-21,United States,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,2007
Accident,2007-12-26,United States,Airplane,Cessna,Personal,0.0,0.0,0.0,1.0,2007
Accident,2007-12-26,United States,Airplane,Mooney,Personal,0.0,0.0,2.0,0.0,2007
Accident,2007-12-28,United States,Airplane,Hein,Personal,0.0,1.0,0.0,0.0,2007
Accident,2008-01-01,United States,Airplane,Barnard/Stancil,Personal,0.0,0.0,0.0,3.0,2008
Accident,2008-01-01,United States,Airplane,Micco Aircraft Company,Personal,0.0,0.0,0.0,1.0,2008
Accident,2008-01-03,United States,Airplane,Pilatus,Personal,0.0,0.0,0.0,8.0,2008
Accident,2008-01-03,United States,Airplane,Costruzioni Aeronautiche,Personal,0.0,0.0,0.0,1.0,2008
Accident,2008-01-04,United States,Airplane,American Champion (ACAC),Personal,0.0,0.0,0.0,2.0,2008
Accident,2008-01-05,United States,Airplane,Cessna,Personal,0.0,1.0,0.0,0.0,2008
Accident,2008-01-05,United States,Airplane,DEAN PATRICK G,Personal,0.0,1.0,0.0,0.0,2008
Accident,2008-01-05,United States,Airplane,Piper,Personal,0.0,0.0,0.0,2.0,2008
Accident,2008-01-06,United States,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,2008
Accident,2008-01-07,United States,Airplane,Bellanca,Personal,0.0,0.0,0.0,2.0,2008
Accident,2008-01-10,United States,Airplane,Corsario,Personal,1.0,0.0,0.0,0.0,2008
Accident,2008-01-10,United States,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,2008
Accident,2008-01-12,United States,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,2008
Accident,2008-01-12,United States,Airplane,Cessna,Personal,4.0,0.0,0.0,0.0,2008
Accident,2008-01-12,United States,Airplane,Ziermann,Personal,0.0,0.0,1.0,0.0,2008
Accident,2008-01-12,United States,Airplane,Cessna,Personal,3.0,0.0,0.0,0.0,2008
Accident,2008-01-12,United States,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,2008
Accident,2008-01-12,United States,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,2008
Accident,2008-01-13,United States,Airplane,Piper,Personal,0.0,1.0,0.0,1.0,2008
Accident,2008-01-14,United States,Airplane,DeSousa,Personal,0.0,0.0,0.0,3.0,2008
Accident,2008-01-14,United States,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,2008
Accident,2008-01-17,United States,Airplane,Grumman American,Personal,0.0,0.0,0.0,1.0,2008
Accident,2008-01-17,United States,Airplane,Piper,Personal,0.0,0.0,0.0,4.0,2008
